epoch,step,train/av2/brier_fde,train/av2/minADE6,train/av2/minFDE6,train/av2/miss_rate,train/brier_fde,train/minADE6,train/minFDE6,train/miss_rate,train/nuscenes/brier_fde,train/nuscenes/minADE6,train/nuscenes/minFDE6,train/nuscenes/miss_rate,train/waymo/brier_fde,train/waymo/minADE6,train/waymo/minFDE6,train/waymo/miss_rate,val/av2/brier_fde,val/av2/minADE6,val/av2/minFDE6,val/av2/miss_rate,val/brier_fde,val/minADE6,val/minFDE6,val/miss_rate,val/nuscenes/brier_fde,val/nuscenes/minADE6,val/nuscenes/minFDE6,val/nuscenes/miss_rate,val/waymo/brier_fde,val/waymo/minADE6,val/waymo/minFDE6,val/waymo/miss_rate
31,255,15.144675254821777,6.514301776885986,14.30783462524414,0.8888888955116272,22.36722183227539,9.251049995422363,21.534120559692383,0.9039999842643738,9.785594940185547,4.167370319366455,8.94143295288086,1.0,23.158153533935547,9.556297302246094,22.32554054260254,0.9035087823867798,,,,,,,,,,,,,,,,
32,263,,,,,,,,,,,,,,,,,17.891014099121094,7.9995808601379395,17.059131622314453,0.8997613191604614,22.320037841796875,9.089217185974121,21.487871170043945,0.9071999788284302,13.906227111816406,6.454020977020264,13.074075698852539,0.7361111044883728,22.86594581604004,9.232549667358398,22.033777236938477,0.9106231927871704
32,263,14.218219757080078,5.765128135681152,13.388070106506348,0.8888888955116272,22.27311134338379,8.85324478149414,21.441097259521484,0.8799999952316284,9.363283157348633,5.422405242919922,8.522857666015625,1.0,23.135513305664062,9.157234191894531,22.303499221801758,0.8771929740905762,,,,,,,,,,,,,,,,
33,271,,,,,,,,,,,,,,,,,17.708715438842773,7.523509979248047,16.87681007385254,0.9021479487419128,21.796184539794922,9.045276641845703,20.964115142822266,0.8809999823570251,13.96776008605957,6.696425914764404,13.135623931884766,0.7638888955116272,22.301029205322266,9.224194526672363,21.468931198120117,0.8809048533439636
33,271,13.800934791564941,5.690333843231201,12.967483520507812,0.7777777910232544,22.403596878051758,8.968862533569336,21.570890426635742,0.8880000114440918,8.26655387878418,4.139066696166992,7.4337158203125,1.0,23.330774307250977,9.312427520751953,22.49812889099121,0.8947368264198303,,,,,,,,,,,,,,,,
34,279,,,,,,,,,,,,,,,,,17.142009735107422,7.402885437011719,16.310131072998047,0.8878281712532043,21.375669479370117,8.873215675354004,20.543594360351562,0.8826000094413757,13.612384796142578,6.596619606018066,12.780291557312012,0.75,21.893049240112305,9.046198844909668,21.060956954956055,0.8842315077781677
34,279,13.322505950927734,5.162683486938477,12.485965728759766,0.7777777910232544,21.44208526611328,8.270044326782227,20.60866355895996,0.8560000061988831,7.709628105163574,3.548215627670288,6.872544288635254,1.0,22.324024200439453,8.598201751708984,21.49091339111328,0.859649121761322,,,,,,,,,,,,,,,,
35,287,,,,,,,,,,,,,,,,,16.72748565673828,6.919612884521484,15.89559268951416,0.8782815933227539,21.068349838256836,8.443692207336426,20.236249923706055,0.8772000074386597,13.296751022338867,6.141132831573486,12.464579582214355,0.8194444179534912,21.595821380615234,8.622085571289062,20.763704299926758,0.8780217170715332
35,287,13.380829811096191,4.899867534637451,12.55028247833252,0.8888888955116272,21.230024337768555,7.99497127532959,20.397232055664062,0.8640000224113464,7.711330413818359,3.6381399631500244,6.878726482391357,1.0,22.086868286132812,8.315757751464844,21.25389289855957,0.859649121761322,,,,,,,,,,,,,,,,
36,295,,,,,,,,,,,,,,,,,16.253686904907227,6.674671173095703,15.42177963256836,0.8878281712532043,20.77216339111328,8.09737491607666,19.94005584716797,0.8841999769210815,12.717106819152832,5.682316303253174,11.884921073913574,0.7638888955116272,21.320680618286133,8.268141746520996,20.48854637145996,0.8857839703559875
36,295,12.033061981201172,4.695085525512695,11.201889038085938,0.7777777910232544,20.8519344329834,7.86612606048584,20.019601821899414,0.8799999952316284,10.27997875213623,5.179121971130371,9.462379455566406,1.0,21.733631134033203,8.16361141204834,20.900951385498047,0.8859649300575256,,,,,,,,,,,,,,,,
37,303,,,,,,,,,,,,,,,,,15.896221160888672,6.983390808105469,15.064299583435059,0.8782815933227539,20.492599487304688,8.009262084960938,19.660444259643555,0.8881999850273132,12.16745376586914,5.653415679931641,11.335293769836426,0.7083333134651184,21.05265998840332,8.142210960388184,20.22047996520996,0.8919937610626221
37,303,13.17842960357666,4.952907085418701,12.344038009643555,0.8888888955116272,20.691816329956055,7.798301696777344,19.860254287719727,0.871999979019165,8.09463119506836,3.9148879051208496,7.265789031982422,1.0,21.505983352661133,8.091070175170898,20.674596786499023,0.8684210777282715,,,,,,,,,,,,,,,,
38,311,,,,,,,,,,,,,,,,,15.62770938873291,6.439910888671875,14.795812606811523,0.8329355716705322,20.296875,8.132441520690918,19.46484375,0.8622000217437744,12.681529998779297,5.967654705047607,11.84936809539795,0.7638888955116272,20.85236358642578,8.324289321899414,20.020322799682617,0.8664892315864563
